State_x;Market;Market Type;Data Center Count;Installed Capacity (MW);Under Construction (MW);Vacancy Rate (%);Pre-leased (%);Absorption (MW);Asking Rent ($/kW/mo);Hyperscalers;Operators;Source URL;Notes;State_y;Latitude;Longitude
Georgia;Atlanta;Primary;142.0;402.1;99.5;0.8;;92.8;;Yes;CyrusOne, Switch, AWS;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-atlanta;Exact;Georgia;33.7;-84.4
Illinois;Chicago;Primary;222.0;591.8;33.5;3.2;;64.7;;Yes;STACK, QTS, Equinix;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-chicago;Exact;Illinois;41.9;-87.6
Texas;Dallas-Fort Worth;Primary;188.0;591.0;605.6;;87.0;;;Yes;;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-dallas-ft-worth;"Mixed; partial data";Texas;32.8;-97.3
Oregon;Hillsboro;Primary;131.0;427.4;;;;171.2;;Yes;;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-hillsboro;Partial;Oregon;45.5;-122.9
New York;New York Tri-State;Primary;139.0;337.7;27.5;6.4;;17.9;;Yes;Digital Realty, Equinix, Sabey;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-new-york-tri-state;Exact;New York;40.7;-74.0
Virginia;Northern Virginia;Primary;576.0;2930.1;2673.0;0.48;;451.7;175–225;Yes;AWS, Google, Microsoft;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-northern-virginia;Exact;Virginia;38.9;-77.2
Arizona;Phoenix;Primary;133.0;602.8;176.0;1.9;;245.5;170–210;Yes;Microsoft, Compass, AWS;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-phoenix;Exact;Arizona;33.4;-112.0
California;Silicon Valley;Primary;181.0;663.4;93.7;8.7;;56.3;;Yes;Vantage, Equinix, Digital Realty;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-silicon-valley;Exact;California;37.4;-122.1
Texas;Austin/San Antonio;Secondary;79.0;;;;;;;;;;;Texas;30.3;-97.7
Washington;Central Washington;Secondary;47.0;135.4;;0.6;;3.0;;Yes;Amazon, Microsoft;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-central-washington;Exact;Washington;47.1;-119.3
North Carolina;Charlotte/Raleigh;Secondary;83.0;;;;;;;;;;;North Carolina;35.8;-78.6
Colorado;Denver;Secondary;53.0;93.5;18.3;3.9;;14.9;;Yes;Flexential, CoreSite, H5 Data Centers;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-denver;Exact;Colorado;39.7;-104.9
Texas;Houston;Secondary;79.0;157.2;17.5;5.6;;8.5;;Yes;Skybox, Equinix, DataBank;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-houston;Exact;Texas;29.8;-95.4
Minnesota;Minneapolis;Secondary;60.0;86.2;;7.1;;6.7;;Partial;DataBank, Flexential, Lumen;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-minneapolis;Exact;Minnesota;44.9;-93.3
Quebec;Montreal;Secondary;;158.4;20.3;1.4;;9.4;;Yes;Cologix, Vantage, eStruxture;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-montreal;Exact;Quebec;45.5;-73.6
Washington;Seattle;Secondary;67.0;262.7;14.8;5.2;;33.2;;Yes;Sabey, Microsoft, Google;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-seattle;Exact;Washington;47.6;-122.3
California;Southern California;Secondary;132.0;308.7;20.0;4.9;;22.7;;Yes;Prime Data Centers, Equinix, CalEthos;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-southern-california;Exact;California;34.1;-118.2
Ontario;Toronto;Secondary;;185.2;24.5;2.8;;17.1;;Yes;Equinix, Compass, STACK;https://www.cbre.com/insights/local-response/north-america-data-center-trends-h2-2024-market-profiles-toronto;Exact;Ontario;43.7;-79.4
